City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,darwin,-12.4611,130.8418,75.18,94,94,1.14,AU,1702143519
273,prado,-17.3411,-39.2208,83.16,64,3,11.41,BR,1702143564
274,khovd,48.0056,91.6419,3.42,76,5,2.3,MN,1702143564
275,lubumbashi,-11.6609,27.4794,67.93,80,98,4.76,CD,1702143564
276,strezhevoy,60.7333,77.5889,-13.04,96,88,3.0,RU,1702143564
277,ulladulla,-35.35,150.4667,67.77,98,100,2.93,AU,1702143565
278,fisterra,42.9049,-9.2629,61.02,96,100,9.6,ES,1702143565
279,kabinda,-6.1333,24.4833,68.81,95,59,0.98,CD,1702143565
280,bastad,56.4269,12.8534,35.91,100,100,13.8,SE,1702143565
281,zhob,31.3411,69.4481,49.05,24,47,6.87,PK,1702143565
282,naze,28.3667,129.4833,68.92,69,97,7.18,JP,1702143565
283,bowen,-20.0167,148.2333,75.38,74,12,13.56,AU,1702143565
284,la paz,-16.5,-68.15,64.38,39,40,4.61,BO,1702143459
285,mount pearl,47.5166,-52.7813,37.85,91,100,32.21,CA,1702143565
286,mathba,22.2855,89.9629,64.8,81,0,5.17,BD,1702143566
287,nova vicosa,-17.8919,-39.3719,93.47,31,24,9.91,BR,1702143516
288,taroa,8.7058,171.2275,82.11,75,100,16.98,MH,1702143566
289,sitka,57.0531,-135.33,42.69,61,100,4.61,US,1702143566
290,vadso,70.0744,29.7487,10.56,79,75,20.71,NO,1702143566
291,kayangel,8.0823,134.7173,82.96,79,99,14.99,PW,1702143566
292,dakhla,23.6848,-15.958,73.42,60,0,16.11,EH,1702143566
293,akureyri,65.6835,-18.0878,4.93,85,0,3.44,IS,1702143566
294,hithadhoo,-0.6,73.0833,81.43,78,99,5.68,MV,1702143487
295,nova sintra,14.8667,-24.7167,70.97,75,0,25.03,CV,1702143567
296,naliya,23.2667,68.8333,68.63,35,2,3.22,IN,1702143567
297,malango,-2.9627,119.9001,67.78,96,99,3.27,ID,1702143523
298,sanya,18.2431,109.505,71.76,88,0,2.24,CN,1702143454
299,yangshuo,24.7808,110.4897,65.89,92,98,2.46,CN,1702143567
300,nosy varika,-20.5833,48.5333,77.31,90,100,2.37,MG,1702143567
301,jinchang,38.4953,102.1739,31.28,58,100,1.77,CN,1702143567
302,kirensk,57.7853,108.1119,-36.04,99,95,1.99,RU,1702143498
303,mucuri,-18.0864,-39.5508,89.28,44,76,10.76,BR,1702143567
304,belyy yar,53.6039,91.3903,-23.91,83,28,0.0,RU,1702143568
305,kruisfontein,-34.0033,24.7314,57.88,92,100,2.04,ZA,1702143568
306,inhambane,-23.865,35.3833,80.58,83,20,17.27,MZ,1702143568
307,shotts,55.8189,-3.7939,44.73,95,100,1.01,GB,1702143568
308,minas de marcona,-15.2119,-75.1103,81.99,35,98,4.45,PE,1702143568
309,likhoslavl',57.1275,35.464,11.86,93,100,9.8,RU,1702143568
310,nguigmi,14.2495,13.1092,76.66,14,100,8.28,NE,1702143568
311,inga,-7.2808,-35.6044,91.85,45,93,14.52,BR,1702143568
312,codrington,-38.2667,141.9667,54.72,64,100,14.85,AU,1702143569
313,yuzhno-kurilsk,44.0306,145.8556,44.38,72,59,25.81,RU,1702143569
314,sandnessjoen,66.0217,12.6316,25.32,77,98,24.47,NO,1702143507
315,waspan,14.7419,-83.9717,83.52,74,37,8.21,NI,1702143569
316,azemmour,33.2895,-8.3425,64.78,75,76,17.16,MA,1702143569
317,quellon,-43.1167,-73.6167,54.75,64,96,6.17,CL,1702143569
318,kars,40.602,43.095,32.45,100,100,3.44,TR,1702143569
319,umm kaddadah,13.6017,26.6876,71.46,12,36,10.63,SD,1702143569
320,pankovka,58.5,31.1999,14.11,94,100,10.22,RU,1702143570
321,aldinga beach,-35.2793,138.4604,58.26,83,100,21.12,AU,1702143570
322,praya,14.9215,-23.5087,82.94,44,20,17.27,CV,1702143570
323,igarka,67.4667,86.5833,-43.96,100,67,3.53,RU,1702143570
324,nha trang,12.25,109.1833,73.4,92,91,3.8,VN,1702143570
